Da Ballare,Baila Morena,Zucchero
Da Ballare,Limbo,Daddy Yankee
Da Ballare,Are you with me,Lost Frequencies
Da Ballare,Danza Kuduro,Don Omar
Da Ballare,Voglio vederti Danzare,Prezioso
Da Ballare,The Riddle,Gigi d'Agostino
Da Ballare,Night Fever,Dee Gees
Da Ballare,Gimme! Gimme! Gimme!,Abba
Da Ballare,Crazy Little Things Called Love,Queen
Romantiche,Romeo and Juliet,Dire Straits
Romantiche,Come un pittore,Modá 
Romantiche,Perfect,Ed Sheeran 
Romantiche,Baciami ancora,Jovanotti 
Romantiche,Com'è bello il mondo insieme a te,Max Pezzali 
Romantiche,Bruciare per te,Elisa 
Romantiche,La musica non c'è,Coez
Romantiche,Tango,Tananai 
Romantiche,Magnolia,Negrita 
Romantiche,Tutte le notti,Tommaso Paradiso
Romantiche,Anna e Marco,De Gregori e Dalla 
Romantiche,La donna cannone,De Gregori
Romantiche,21 Guns,Green Day
Romantiche,Wherever You Will Go,The Calling
Romantiche,Spaccacuore,Samuele Bersani
Romantiche,Brividi,Mahmood
Romantiche,Apologize,"Timbaland - One Republic"
Romantiche,To Be With You,Mr. Big
Da Cantare,Certe notti ,Ligabue
Da Cantare,Destinazione paradiso ,Grignani
Da Cantare,Io vagabondo ,Nomadi 
Da Cantare,50 special ,Lunapop 
Da Cantare,Ti porto via con me ,Jovanotti 
Da Cantare,L'isola che non c'è ,Bennato 
Da Cantare,Generale,De Gregori
Da Cantare,Gli Anni,883
Da Cantare,Wish You were Here,Pink Floyd
Da Cantare,è il mio corpo che Cambia,Litfiba
Da Cantare,Domani,Artisti uniti per l'Abruzzo
On the Road,Nord sud ovest est ,883
On the Road,La strada ,Modena City Ramblers 
On the Road,Rise ,Eddie Vedder 
On the Road,Up in the sky ,77 Bombay Street 
On the Road,Hold back the river ,James Bay 
On the Road,Il cielo d'Irlanda ,Fiorella Mannoia
On the Road,Country road ,John Denver 
On the Road,Buon viaggio ,Cesare Cremonini
On the Road,Highway to hell ,AC/DC
On the Road,Sí viaggiare ,Battisti 
On the Road,Sweet home Alabama ,Lynyrd Skynyrd
On the Road,The passenger ,Iggy Pop
On the Road,Hotel California ,Eagles 
On the Road,Giovani wannabe ,Pinguini tattici nucleari
On the Road,Society ,Eddie Vedder 
On the Road,Should I stay or should I go ,The Clash
On the Road,El Sendero,Caparezza
Per Lei,Lucy , Venerus
Per Lei,Ogni istante , Elisa
Per Lei,Mondo , Cremonini
Per Lei,La ragazza del futuro , Cremonini
Per Lei,A sky full of stars , Coldplay
Per Lei,Dance with me tonight , Olly Murs
Per Lei,Crocodile rock , Elton John
Per Lei,Sono sempre i sogni a dare forma al mondo , Ligabue
Per Lei,Dancing in the moonlight , Toploader
Per Lei,Little bit of love , Tom Grennan
Per Lei,Scudo , Gio Evan
Per Lei,Ė sempre bello , Coez
Per Lei,Catch and Release , Matt Simons
Per Lei,September song , JP Cooper
Per Lei,Happy now , Kygo ft. Sandro Cavazza
Per Lei,Io ti aspetto , Mengoni
Per Lei,One day , Imagine Dragons
Per Lei,Green green grass , George Ezra
Per Lei,Run , OneRepublic
Per Lei,Be the one , Dua Lipa
Per Lui,Partigiano Reggiano,Zucchero
Per Lui,Sultans of Swing,Dire Straits
Per Lui,Misunderstood,Bon Jovi
Per Lui,Domani Smetto,Articolo 31
Per Lui,Kings and Queens,Thirty Seconds to Mars
Per Lui,Eri Bellissima,Ligabue
Per Lui,What I've Done,Linkin Park
Per Lui,Superman,Lazlo Bane
Per Lui,Something Just Like This,The Chainsmokers
Per Lui,Morte di un poeta,Modena City Ramblers
Per Lui,Rimmel,De Gregori
Per Lui,Vedo Nero,Zucchero
Per Lui,What's my destiny Dragon Ball,Giorgio Vanni
Per Lui,Bagatelle,Pinguini Tattici Nucleari
Per Lui,I See Fire,Ed Sheeran
Per Lui,Ho imparato a sognare,Negrita
Per Lui,American Idiot,Green Day
Per Lui,In to deep,Sum 41
Per Lui,Born to be Wild,ACDC
Per Lui,Snow (Hey Oh),Red Hot Chili Peppers
